Date,Close
9/24/2018,51.24
9/25/2018,51.72
9/26/2018,51.63
9/27/2018,51.69
9/28/2018,51.56
10/1/2018,51.8
10/2/2018,50.23
10/3/2018,49.75
10/4/2018,49.47
10/5/2018,49.35
10/8/2018,49.36
10/9/2018,48.87
10/10/2018,47.4
10/11/2018,46.78
10/12/2018,47.38
10/15/2018,47.12
10/16/2018,48.23
10/17/2018,47.86
10/18/2018,47.38
10/19/2018,47.59
10/22/2018,47.94
10/23/2018,47.99
10/24/2018,46.76
10/25/2018,47.96
10/26/2018,47.32
10/29/2018,47.02
10/30/2018,48.57
10/31/2018,48.84
11/1/2018,48.59
11/2/2018,48.83
11/5/2018,49.02
11/6/2018,49.25
11/7/2018,50.26
11/8/2018,50.43
11/9/2018,50.61
11/12/2018,49.22
11/13/2018,49.51
11/14/2018,48.84
11/15/2018,50.63
11/16/2018,51.17
11/19/2018,49.55
11/20/2018,48.33
11/21/2018,48.62
11/23/2018,48.7
11/26/2018,48.26
11/27/2018,47.44
11/28/2018,48.19
11/29/2018,47.9
11/30/2018,48.76
12/3/2018,49.83
12/4/2018,48.75
12/6/2018,46.68
12/7/2018,46
12/10/2018,46.67
12/11/2018,46.46
12/12/2018,47.32
12/13/2018,47.23
12/14/2018,46.6
12/17/2018,45.73
12/18/2018,45.85
12/19/2018,46.45
12/20/2018,46.24
12/21/2018,44
12/24/2018,42.69
12/26/2018,44.59
12/27/2018,44.97
12/28/2018,44.82
12/31/2018,45.15
1/2/2019,45.22
1/3/2019,44.78
1/4/2019,46.71
1/7/2019,47.45
1/8/2019,47.88
1/9/2019,47.78
1/10/2019,47.82
1/11/2019,48.29
1/14/2019,48.18
1/15/2019,48.38
1/16/2019,48.06
1/17/2019,48.58
1/18/2019,49.27
1/22/2019,48.94
1/23/2019,49.24
1/24/2019,49.2
1/25/2019,49.8
1/28/2019,49.52
1/29/2019,49.61
1/30/2019,50.36
1/31/2019,50.23
2/1/2019,50.81
2/4/2019,51.03
2/5/2019,51.24
2/6/2019,51.26
2/7/2019,50.22
2/8/2019,51.03
2/11/2019,51.23
2/12/2019,51.22
2/13/2019,51.42
2/14/2019,51.48
2/15/2019,51.72
2/19/2019,52.02
2/20/2019,51.77
2/21/2019,52.11
2/22/2019,52.48
2/25/2019,52.56
2/26/2019,52.6
2/27/2019,52.38
2/28/2019,52.13
3/1/2019,52.51
3/4/2019,52.04
3/5/2019,52.36
3/6/2019,52.35
3/7/2019,52.58
3/8/2019,52.77
3/11/2019,52.66
3/12/2019,52.8
3/13/2019,53.06
3/14/2019,53.05
3/15/2019,52.94
3/18/2019,53.46
3/19/2019,54.04
3/20/2019,52.64
3/21/2019,54.04
3/22/2019,52.77
3/25/2019,52.74
3/26/2019,53.28
3/27/2019,52.81
3/28/2019,53.19
3/29/2019,53.71
4/1/2019,54.58
4/2/2019,54.15
4/3/2019,54.06
4/4/2019,53.82
4/5/2019,53.93
4/8/2019,53.72
4/9/2019,53.83
4/10/2019,53.97
4/11/2019,53.79
4/12/2019,54.5
4/15/2019,54.63
4/16/2019,54.59
4/17/2019,54.48
4/18/2019,54.52
4/22/2019,54.62
4/23/2019,54.94
4/24/2019,55.18
4/25/2019,55.01
4/26/2019,55.41
4/29/2019,55.08
4/30/2019,55.33
5/1/2019,54.88
5/2/2019,54.6
5/3/2019,54.79
5/6/2019,54.85
5/7/2019,54
5/8/2019,53.99
5/9/2019,54.25
5/10/2019,54.65
5/13/2019,53.43
5/14/2019,54.13
5/15/2019,54.56
5/16/2019,54.64
5/17/2019,54.5
5/20/2019,53.66
5/21/2019,54.17
5/22/2019,54.2
5/23/2019,53.08
5/24/2019,52.77
5/28/2019,51.75
5/29/2019,51.69
5/30/2019,51.72
5/31/2019,50.6
6/3/2019,50.24
6/4/2019,52.02
6/5/2019,52.1
6/6/2019,52.59
6/7/2019,53.26
6/10/2019,54.01
6/11/2019,53.94
6/12/2019,53.62
6/13/2019,53.84
6/14/2019,53.28
6/17/2019,53.13
6/18/2019,52.9
6/19/2019,52.68
6/20/2019,56.99
6/21/2019,56.12
6/24/2019,56.74
6/25/2019,56.07
6/26/2019,56.66
6/27/2019,56.77
6/28/2019,56.97
7/1/2019,58.01
7/2/2019,58.46
7/3/2019,58.86
7/5/2019,59.28
7/8/2019,59.53
7/9/2019,59.6
7/10/2019,60.15
7/11/2019,59.99
7/12/2019,59.81
7/15/2019,59.53
7/16/2019,58.61
7/17/2019,57.99
7/18/2019,58.12
7/19/2019,57.54
7/22/2019,57.6
7/23/2019,57.45
7/24/2019,58.11
7/25/2019,58.29
7/26/2019,58.5
7/29/2019,58.06
7/30/2019,57.49
7/31/2019,56.3
